otoceni , smer1_stupne , smer1_minuty , smer2_stupne , smer2_minuty
0       , 61           , 46           , 62           , 18
20      , 61           , 52           , 62           , 6
40      , 61           , 52           , 61           , 53
60      , 61           , 52           , 61           , 52
80      , 61           , 42           , 61           , 43
100     , 61           , 38           , 61           , 56
120     , 61           , 42           , 62           , 5
140     , 61           , 34           , 62           , 9
160     , 61           , 38           , 62           , 12
180     , 61           , 40           , 62           , 11
200     , 61           , 43           , 61           , 56
220     , 61           , 42           , 61           , 50
240     , 61           , 43           , 61           , 43
260     , 61           , 43           , 61           , 49
280     , 61           , 47           , 62           , 3
300     , 61           , 54           , 62           , 14
320     , 61           , 51           , 62           , 25
340     , 61           , 52           , 62           , 26